#,Name,City,Category,TikTok Category,Rating,Review Count,District,Distance,Distance Unit,Landmark,Save Count,Source Screenshot
169,TIBON BY JAYDEN - 229 HOANG S... </,Ho Chi Minh,Food & Drink,Cafe,4.8,93,District 1,2.6,km,Saigon Opera House,600+,IMG-20260716-WA0029.jpg
170,Quán Cơm Tấm Hồng Calmette 7,Ho Chi Minh,Food & Drink,Broken Rice Restaurant,4.8,26,District 4,1.5,km,Saigon Opera House,100+,IMG-20260716-WA0029.jpg
171,Bãi tam Man Thái 4,Da Nang,Attraction,Attraction,4.9,710,Son Tra,2.8,km,My Khe Beach,,IMG-20260716-WA0029.jpg
172,LIDER 7,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 1,330,m,Saigon Opera House,,IMG-20260716-WA0030.jpg
173,The New Playground kí,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 1,285,m,Saigon Opera House,100+,IMG-20260716-WA0030.jpg
174,Mozaic Space kí,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 5,1.6,km,Vietnamese National...,14,IMG-20260716-WA0030.jpg
175,Aesir Studios 7,Ho Chi Minh,Shopping,Apparel and Accessories,,,District 2,2.3,km,CGV Giga Mall Thủ Đức,2,IMG-20260716-WA0030.jpg
176,Chuyện Của Tùng kí,Ho Chi Minh,Food & Drink,Drinks,4.8,185,Quan Thu Duc,2.8,km,CGV Giga Mall T...,200+,IMG-20260716-WA0030.jpg
177,Vigift - Gift & Specialty Shop in Da... <7,Da Nang,Shopping,Retail and Lifestyle Store,,,Son Tra,982,m,My Khe Beach,16,IMG-20260716-WA0030.jpg
178,Banh Mi Phugng kí,Hoi An,Food & Drink,Banh Mi Restaurant,4.9,84,Hoi An,286,m,Precious Heritage Art Ga...,100+,IMG-20260716-WA0032.jpg
179,MET Hội An - Vietnamese restauran... 7,Hoi An,Food & Drink,Vietnamese Restaurant,,,Hoi An,951,m,Precious Heritage Art Gai...,1,IMG-20260716-WA0032.jpg
180,Compound Garment WV,Ho Chi Minh,,,,,District 1,857,m,Saigon Opera House,21,IMG-20260716-WA0032.jpg
181,Ho Chi Minh City 4,Ho Chi Minh,General,Office and Industrial,,,Tan Binh,2.7,km,tiNiWorld Aeon Mall Ta...,,IMG-20260716-WA0032.jpg
182,My Khe Beach kí,Da Nang,Attraction,Beach,4.9,14.4K,Son Tra,2.3,km,Han River Bridge,2.8K,IMG-20260716-WA0033.jpg
183,Dragon Bridge kí,Da Nang,Attraction,Bridge,4.9,15.7K,Son Tra,2.1,km,My Khe Beach,2.6K,IMG-20260716-WA0033.jpg
184,Marble Mountains kí,Da Nang,Attraction,Outdoors and Attractions,,,Son Tra,787,m,My Khe Beach,,IMG-20260716-WA0033.jpg
185,Son Tra ⁄,Da Nang,General,District,,,"Da Nang City, Vietnam",,,,800+,IMG-20260716-WA0033.jpg
186,Linh Ứng Pagoda 4,Da Nang,Attraction,Temple,5,3.8K,Son Tra,2.5,km,Buu Dai Son Pagoda,400+,IMG-20260716-WA0033.jpg
187,Han River kí,Da Nang,Attraction,River,4.9,2.2K,Son Tra,2.1,km,My Khe Beach,200+,IMG-20260716-WA0033.jpg
188,Love Bridge Da Nang kí,Da Nang,Attraction,Outdoors and Attractions,4.9,151,Hai Chau,2.5,km,Thuận Phước Bridge,,IMG-20260716-WA0033.jpg
189,District 1,Ho Chi Minh,General,District,,,"Ho Chi Minh City, Vietnam",,,,25.2K,IMG-20260716-WA0034.jpg
190,District 2,Ho Chi Minh,General,District,,,"Ho Chi Minh City, Vietnam",,,,7.6K,IMG-20260716-WA0034.jpg
191,District 7,Ho Chi Minh,General,District,,,"Ho Chi Minh City, Vietnam",,,,23.2K,IMG-20260716-WA0034.jpg
192,The Cafe Apartment,Ho Chi Minh,Food & Drink,Coffee Shop,4.8,39,District 1,311,m,Saigon Opera House,13,IMG-20260716-WA0034.jpg
193,Ho Chi Minh City,Ho Chi Minh,General,Places,,,Ho Chi Minh,,,,2.7K,IMG-20260716-WA0034.jpg
194,Bò Né Ba Ndi,Ho Chi Minh,Food & Drink,Other Cuisine,4.8,116,District 1,2.8,km,Vietnamese National...,,IMG-20260716-WA0034.jpg
195,Love Bridge Da Nang WV,Da Nang,Attraction,Outdoors and Attractions,4.9,131,Hai Chau,2.3,km,Thuan Phước Bridge,5,IMG-20260716-WA0035.jpg
196,Ban Co Peak kí,Da Nang,Attraction,Mountain,5,1.4K,Son Tra,2.2,km,Linh Ung Pagoda,400+,IMG-20260716-WA0035.jpg
197,Bay Mau Coconut Forest kí,Hoi An,Attraction,Attraction,5,165,Hoi An,2.1,km,Làng Dừa Xanh Coconut...,25,IMG-20260716-WA0035.jpg
198,Hải đăng Tiên Sa 7,Da Nang,Attraction,Lighthouse,4.9,68,Son Tra,,,Tho Quang,100+,IMG-20260716-WA0035.jpg
199,Banh Xèo Bà Dưỡng Vietnamese Re... 7,Da Nang,Food & Drink,Banh Xeo Restaurant,4.8,45,Hai Chau,1.9,km,Han River Bridge,89,IMG-20260716-WA0036.jpg
200,DONALD TRUNG ĐÀ NANG - 141 Ð... 7,Da Nang,Food & Drink,Vietnamese Restaurant,4.9,15,Ngu Hanh Son,1.9,km,My Khe Beach,10,IMG-20260716-WA0036.jpg
201,Banh Mi Ong Phu Dat 4,Da Nang,Food & Drink,Vietnamese Restaurant,,,Hai Chau,1.7,km,Thuận Phước Bridge,3,IMG-20260716-WA0036.jpg
202,Thìa Gỗ Đà Nẵng 4,Da Nang,Food & Drink,Vietnamese Restaurant,4.9,21,Hai Chau,2.1,km,Thuận Phước Bridge,,IMG-20260716-WA0036.jpg
203,Avocado ice cream Ms.VAN at Bac... </,Da Nang,Food & Drink,Ice Cream Shop,,,Ngu Hanh Son,2.5,km,My Khe Beach,26,IMG-20260716-WA0036.jpg
204,My Khe Beach kí,Da Nang,Attraction,Beach,5,1.3K,Hai Chau,2.8,km,My Khe Beach,,IMG-20260716-WA0036.jpg
